id	bait_command	bait_exit	restore_command	restore_exit	status	named_output
f1-production-claude-manifest	$env:QF_G6_FALSIFY="production-claude-manifest"; bun qa/run.ts dock-production-inventory	1	Remove-Item Env:QF_G6_FALSIFY -ErrorAction SilentlyContinue; bun qa/run.ts dock-production-inventory	0	RED_AND_RESTORED	production bait defect=species/claude-code/packed/claude-code.aospkg
f2-qa-fixture-leak	$env:QF_G6_FALSIFY="qa-fixture-leak"; bun qa/run.ts dock-production-inventory	1	Remove-Item Env:QF_G6_FALSIFY -ErrorAction SilentlyContinue; bun qa/run.ts dock-production-inventory	0	RED_AND_RESTORED	QA bait defect=tools/qf-proof-agent/packed/qf-proof-agent.mjs
f3-package-claude-resource	$env:QF_G6_FALSIFY="package-claude-resource"; bun qa/run.ts dev-dock-readiness	1	Remove-Item Env:QF_G6_FALSIFY -ErrorAction SilentlyContinue; bun qa/run.ts dev-dock-readiness	0	RED_AND_RESTORED	production staging rejected Claude package bait
f4-saved-claude-launchable	$env:QF_G6_FALSIFY="saved-claude-launchable"; bun qa/run.ts dock-definition-launch	1	Remove-Item Env:QF_G6_FALSIFY -ErrorAction SilentlyContinue; bun qa/run.ts dock-definition-launch	0	RED_AND_RESTORED	unavailable saved row admitted bait rejected
f5-spawn-before-refusal	$env:QF_G6_FALSIFY="spawn-before-refusal"; bun qa/run.ts dock-definition-launch	1	Remove-Item Env:QF_G6_FALSIFY -ErrorAction SilentlyContinue; bun qa/run.ts dock-definition-launch	0	RED_AND_RESTORED	admission-before-resolver bait rejected
f6-workspace-identity	$env:QF_G6_FALSIFY="workspace-identity"; bun qa/run.ts dock-definition-launch	1	Remove-Item Env:QF_G6_FALSIFY -ErrorAction SilentlyContinue; bun qa/run.ts dock-definition-launch	0	RED_AND_RESTORED	Claude render identity bait rejected
f7-hermes-resource-loss	$env:QF_G6_FALSIFY="hermes-resource-loss"; bun test collab-electron/scripts/package-lib/runtime-staging.test.ts	1	Remove-Item Env:QF_G6_FALSIFY -ErrorAction SilentlyContinue; bun test collab-electron/scripts/package-lib/runtime-staging.test.ts	0	RED_AND_RESTORED	retained Hermes package missing bait rejected
f8-external-cli-seam	$env:QF_G6_FALSIFY="external-cli-seam"; bun qa/run.ts research-director-front-door	1	Remove-Item Env:QF_G6_FALSIFY -ErrorAction SilentlyContinue; bun qa/run.ts research-director-front-door	0	RED_AND_RESTORED	protected seam changed bait rejected; fixture restored
# independent_verifier_task=01a04695-825e-7893-89fb-d0efb6ceec3c
# candidate_sha=8dbc19162be9c42303fd79c3c942385a17726f31
# candidate_tree=7cee1e3d8e8444d48c8048f344f44ef33db594e2
# verifier_result=all 8 falsifiers exited 1, exact-clear restore reruns exited 0
