id	category	specifier-or-source	baseline_disposition	final_status_required
protocol:unreached-ipc:browser:evaluate	protocol	ipc-browser.ts:198	PENDING	removed|retained with exact proof and recreation decision
protocol:unreached-ipc:browser:info	protocol	ipc-browser.ts:182	PENDING	removed|retained with exact proof and recreation decision
protocol:unreached-ipc:browser:scroll	protocol	ipc-browser.ts:133	PENDING	removed|retained with exact proof and recreation decision
protocol:unreached-ipc:browser:wait	protocol	ipc-browser.ts:147	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:openFolder()→dialog:open-folder	protocol	universal.ts:429	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:openImageDialog()→dialog:open-image	protocol	universal.ts:305	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:countFiles()→fs:count-files	protocol	universal.ts:260	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:getHomePath()→get-home-path	protocol	shell.ts:317	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:deleteConnectionsForTile()→qf:connections:deleteForTile	protocol	shell.ts:128	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:getGovernedReviewProjection()→qf:review:projection	protocol	shell.ts:90	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:permissionDecision()→qf:sessions:permissionDecision	protocol	universal.ts:157	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:openSettings()→settings:open	protocol	shell.ts:218	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:openExternal()→shell:open-external	protocol	shell.ts:311	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:workspaceRemove()→workspace:remove	protocol	shell.ts:262	PENDING	removed|retained with exact proof and recreation decision
protocol:unused-bridge:updateFrontmatter()→workspace:update-frontmatter	protocol	universal.ts:314	PENDING	removed|retained with exact proof and recreation decision
protocol:dead-wire:agent:cancel	protocol	universal.ts:656	PENDING	removed|retained with exact proof and recreation decision
protocol:dead-wire:agent:kill	protocol	universal.ts:661	PENDING	removed|retained with exact proof and recreation decision
protocol:dead-wire:agent:prompt	protocol	universal.ts:651	PENDING	removed|retained with exact proof and recreation decision
protocol:dead-wire:agent:save-messages	protocol	universal.ts:666	PENDING	removed|retained with exact proof and recreation decision
protocol:dead-wire:agent:spawn	protocol	universal.ts:646	PENDING	removed|retained with exact proof and recreation decision
protocol:variant:pty:write:invoke	protocol	index.ts:790; send universal.ts:345	PENDING	removed|retained; send path and PTY behavior proven
protocol:variant:pty:send-raw-keys:invoke	protocol	index.ts:810; send universal.ts:348	PENDING	removed|retained; send path and PTY behavior proven
protocol:push-no-sender:shell:loading-status	protocol	shell.ts:178	PENDING	removed|retained with dynamic/package/startup proof
protocol:broken-call:browserEvaluate	protocol	canvas-rpc.js:338	ROUTE-G10	retained/routed; never hide in G7
protocol:broken-call:browserInfo	protocol	canvas-rpc.js:358	ROUTE-G10	retained/routed; never hide in G7
protocol:broken-call:browserScroll	protocol	canvas-rpc.js:328	ROUTE-G10	retained/routed; never hide in G7
protocol:broken-call:browserWait	protocol	canvas-rpc.js:348	ROUTE-G10	retained/routed; never hide in G7
protocol:broken-call:focusAgentSession	protocol	WorkspaceGraph.tsx:388	ROUTE-G10	retained/routed; never hide in G7
protocol:shell-forward:transport	protocol	ipc.ts:32-42; shell.ts:38-43,148-166	RETAIN-REQUIRED	retain exact tuple and dynamic routing
protocol:shell-forward:inner:agent:${event.kind}	protocol	ipc-misc.ts:206-210; renderer.js:1441	RETAIN-REQUIRED	independent bait red then restore green
protocol:shell-forward:inner:create-artifact-tile	protocol	ipc-kernel.ts:212-216; index.ts:1262-1268,1410	RETAIN-REQUIRED	independent bait red then restore green
protocol:shell-forward:inner:create-graph-tile	protocol	ipc-knowledge.ts:110-114	RETAIN-REQUIRED	independent bait red then restore green
protocol:shell-forward:inner:create-term-tile	protocol	ipc-kernel.ts:306-318; index.ts:1048-1058	RETAIN-REQUIRED	independent bait red then restore green
protocol:shell-forward:inner:file-renamed	protocol	ipc-filesystem.ts:134-145,203-214	RETAIN-REQUIRED	independent bait red then restore green
protocol:shell-forward:inner:file-selected	protocol	ipc-knowledge.ts:71-72; index.ts:925-927,1076-1078	RETAIN-REQUIRED	independent bait red then restore green
protocol:shell-forward:inner:files-deleted	protocol	ipc.ts:91-94	RETAIN-REQUIRED	independent bait red then restore green
protocol:shell-forward:inner:folder-selected	protocol	ipc-knowledge.ts:79-83	RETAIN-REQUIRED	independent bait red then restore green
protocol:shell-forward:inner:fs-changed	protocol	ipc.ts:66-67; ipc-filesystem.ts:103-104,191-192	RETAIN-REQUIRED	independent bait red then restore green
protocol:shell-forward:inner:handoffs-changed	protocol	ipc-kernel.ts:900; index.ts:1259,1366	RETAIN-REQUIRED	independent bait red then restore green
