ledger	reader_seed_total	counting_rule	exact_runnable_extractor_or_grammar	output
tracked-files	1440	exact `git ls-files` rows at 746d29a; UTF-8 LF; ordinal sort; one normalized repo-relative path per row	git -c core.quotepath=false ls-tree -r --name-only 746d29a0 | Sort-Object -CaseSensitive | Set-Content -Encoding utf8NoBOM tracked-files.tsv	tracked-files.tsv
package-manifests	20	exact leaf name package.json only; agentos-package.json excluded and counted as packaged resource	git ls-tree -r --name-only 746d29a0 piped to `[IO.Path]::GetFileName($_) -ceq 'package.json'`, ordinal sort, UTF-8-no-BOM LF	package-manifests.tsv
direct-dependencies	103_SEED__104_AFTER_AUTHORIZED_DELTA	one row per property in dependencies/devDependencies/peerDependencies/optionalDependencies; sole allowed delta is collab-electron/package.json dependencies @agentclientprotocol/sdk 0.18.2	PowerShell ConvertFrom-Json over manifest ledger; ordinal sort; record 103 seed hash and mechanically freeze new 104-row hash at execution source	direct-dependencies.tsv
electron-package-hooks	6	collab-electron script rows named/value-matching build|package|dist|postinstall; frozen names build,package,package:verify,package:unsigned,release,postinstall	PowerShell ConvertFrom-Json collab-electron/package.json	package-hooks.tsv
lock-roots	15	exact leaf name bun.lock; key=parent directory	git ls-files piped to leaf-name equality	package-lock-roots.tsv
packaged-generated-resources	72	bounded constructs only: package JSON extraResources/extraMetadata; electron.vite config; package scripts requiredFiles/requiredDirectories/packageResource/copyFile/copyFileSync/cpSync/assertPackagedPath; schema golden and Atlas named outputs	`git grep -n -E 'extraResources|extraMetadata|requiredFiles|requiredDirectories|packageResource|copyFile|copyFileSync|cpSync|assertPackagedPath|golden/|atlas\.(json|html)|ATLAS\.md' 746d29a0 -- ':(glob)**/package.json' collab-electron/electron.vite.config.ts collab-electron/scripts/package.mjs 'collab-electron/scripts/package-lib/**' 'qf-kernel-schema/src/**' qf-atlas/generate.mjs`, ordinal sort, UTF-8-no-BOM LF	packaged-generated-resources.tsv
tests	122	tracked exact suffix .test/.spec followed by ts/tsx/js/mjs/cjs; generated conformance test included	git ls-files plus anchored suffix predicate	tests.tsv
registered-gates	72	one row per tab-delimited `bun qa/run.ts --list` entry; key=gate name	bun qa/run.ts --list	gates.tsv
claims	2136	bounded claim occurrences: description, textContent, innerText, aria-label, title, assert, status, mission, decision, and qa/run name metadata across exact schema/UI/package/gate/authority families	`git grep -n -E 'description[[:space:]]*:|textContent[[:space:]]*=|innerText[[:space:]]*=|aria-label|title[[:space:]]*:|assert\(|status:|mission:|decision:|name:[[:space:]]*"' 746d29a0 -- 'qf-kernel-schema/src/**' 'collab-electron/src/windows/**' 'collab-electron/scripts/package-lib/**' qa/run.ts 'qa/gates/**' START_HERE.md docs/orders/NEXT.md docs/orders/GOLDEN-RUN.md docs/adr/0004-repository-golden-baseline.md`, ordinal sort, UTF-8-no-BOM LF	claims.tsv
supported-consumers	DERIVED	one row per checklist screen/control/visible claim in PHASE3-WINDOWS-TRAVERSAL.tsv; key=check id	PHASE3-WINDOWS-TRAVERSAL.tsv	supported-consumers.tsv
dispositions	SUM_OF_UNION	exactly one row per key from all ledgers; allowed classes current-production,package,compatibility,authority/evidence,test/proof,retired-by-accepted-Gn; evidence mandatory	join of all ledger keys	dispositions.tsv
claim-proof-map	EQUAL_CLAIMS	exactly one row per claims key with consumer,test-or-gate,falsifier,expected-red,proof-tier,Kernel-oracle	join claims to gates/tests/traversal	claim-proof-map.tsv
seed-freeze	1	each seed ledger is generated at 746d29a0, byte length/count/SHA256 recorded in PHASE3-SEED-HASHES.tsv; authority amendments are enumerated deltas	Get-FileHash -Algorithm SHA256 over UTF-8-no-BOM LF ordinal-sorted output	PHASE3-SEED-HASHES.tsv
completeness	1	PASS iff set equality, uniqueness, frozen seed hash+enumerated delta, no unknown disposition, every claim mapped; omit one occurrence of each JSON field/copy/assert/generator/schema/UI/package/authority/gate-metadata construct and each bait RED	prepared golden-phase3-requalification gate	completeness.txt
