class	path_or_surface	disposition
PACKAGE_ENTRY	collab-electron/package.json	ALLOW_IF_CAUSAL
PACKAGE_SCRIPTS	collab-electron/scripts/package.mjs;collab-electron/scripts/package-verify.ts;collab-electron/scripts/after-pack-pty.cjs;collab-electron/scripts/package-lib/**	ALLOW_IF_CAUSAL
RUNTIME_STAGE	collab-electron/src/main/package-resource-paths.ts;collab-electron/src/main/dock-profiles.ts;species/hermes/**;qf-kernel-schema/golden/upgrades/**	ALLOW_IF_CAUSAL
INSTALL_UPDATE	qa/package-install.ts;qa/gates/windows-installer.ts;collab-electron/src/main/updater/**	ALLOW_IF_CAUSAL
LIFECYCLE	qa/gates/windows-cold-boot.ts;collab-electron/src/main/index.ts;collab-electron/src/main/pty.ts;collab-electron/src/main/sidecar/**	ALLOW_IF_CAUSAL
DOMAIN_WINDOWS_FS	tools/qf-bovada-football/**;qa/gates/bovada-football/**	ALLOW_IF_CAUSAL
RELEASE_ROUTE	qa/verify-release.ts;qa/verify-release.test.ts;qa/windows-unit.ts;qa/run.ts;.github/workflows/ci.yml;.github/workflows/packaged-app.yml	ALLOW_IF_CAUSAL
G12_PROOF	qa/gates/golden-g12-package-operations.ts;qa/gates/golden-g12-package-operations/**;docs/orders/evidence/golden-baseline/g12/**	ALLOW_CREATE_OR_EDIT
MECHANICAL_HARNESS	collab-electron/src/main/ontology-gateway.test.ts	ALLOW_EXACT_SINGLETON_ISOLATION_REPAIR
MECHANICAL_HARNESS	collab-electron/src/main/kernel-lifecycle.test.ts	ALLOW_TEMP_PREFIX_ONLY
RELEASE_ORACLE	qa/gates/release-verifier.ts	ALLOW_REMOVE_STALE_ACP_REGISTRATION_ONLY
BUNDLE_CONFIG	collab-electron/electron.vite.config.ts	ALLOW_REMOVE_PRIVATE_PORTABLE_ALIAS_ONLY
MECHANICAL_HARNESS	qa/gates/kernel-market-lineage.ts	ALLOW_GOVERNED_EVALUATION_FIXTURE_ONLY
GENERATED	collab-electron/bun.lock;docs/orders/evidence/wo-win1/windows-cold-boot-latest.json;qf-atlas/atlas.json;qf-atlas/ATLAS.md	ONLY_IF_DIRECTLY_GENERATED_AND_REQUIRED
PROTECTED	packages/qf-kernel/**;qf-kernel-schema/src/**;collab-electron/src/windows/**;docs/orders/WO-GOLDEN-G12.md;docs/orders/evidence/golden-baseline/g1/**;docs/orders/evidence/golden-baseline/g2/**;docs/orders/evidence/golden-baseline/g3/**;docs/orders/evidence/golden-baseline/g4/**;docs/orders/evidence/golden-baseline/g5/**;docs/orders/evidence/golden-baseline/g6/**;docs/orders/evidence/golden-baseline/g7/**;docs/orders/evidence/golden-baseline/g8/**;docs/orders/evidence/golden-baseline/g9/**;docs/orders/evidence/golden-baseline/g10/**;docs/orders/evidence/golden-baseline/g11/**;docs/orders/WO-R18-GROUND.md;docs/orders/evidence/r18/**	BYTE_IMMUTABLE
