id	screen_or_control	visible_claim	read_only_kernel_oracle	mandatory_falsifier
W01	Research Director mission form	bounded question and selected Technique are admitted as one durable Mission	get Mission by run-scoped mission key; exact prompt and Technique selection links	missing-technique-identity
W02	Mission canvas card and Inspect	current Mission id/status/question/participant count	read Mission plus exact participant links	ui-kernel-mismatch
W03	Dock inventory and spawned tiles	exact Director and specialist definitions/sessions, status, ownership	list agent_definition/agent_session and spawned_from/participates_in links	extra-lineage-object
W04	Task plan and assignment view	exact Task ids, descriptions, assignee session ids, statuses, reasons	list Mission-reachable Tasks and assigned_to links	ui-kernel-mismatch
W05	steering controls	gate setup calls existing preload loadSampleResearchDataset, sets returned exact Technique in .dock-technique-version and Dataset in form.dataset.r17DatasetId, then submits ordinary form exactly once	accepted control visible/durable; separate wrong/missing-Technique coverage refusal has zero delta; no TRY GUIDED RESEARCH, synthetic Task, bypass, or UI change	steering-ui-only
W06	P14-A production Bovada capture	one fresh isolated stored source Artifact plus required successful NFL admission; before cleanup analyzer emits only distinct exact-NFL path-node allowlist tuples; separate cancellation	process/error receipt binds transport; tuples bind type/id/description SHA-256/cardinality/order-parent position/execution SHA/Artifact hash; never raw response/text/names/teams/odds/headers	fabricated-coverage
W07	P14-B packaged default-profile Director	Kernel AgentDefinition+AgentSession+links+lifecycle only; external run-owned terminal transcript/hash proves execution, not Kernel truth	read exact Kernel lifecycle; hash external transcript separately; provider/model unprovable absent trusted Hermes metadata	provider-identity-self-report
W08	P14-C guided Technique and sample Dataset	stable Technique id/version/hash; distinct worker-evidence Artifact and Run-result Artifact; deterministic labels	read Technique, Dataset, Run, both Artifacts, executor→evidence produces, Run→result link, labels/hashes	missing-technique-identity; sample-claimed-current
W09	P14-C production continuation, settlement, review/current Report	initial Dataset/Technique fixture only; no later fixture review; dynamic executor/critic/Task/Evaluation/findings/current Report; exact 15/17 then 17/21	await complete terminal continuation; select result→Dock Inspect→IPC/Kernel; reselect result after refresh/reopen; oracle/product unchanged	second-review-21-29; incomplete-continuation; wrong-dynamic-identity; early-settlement-order; missing-reselection; wrong-current-report
W10	P14-D read-only capability preflight	generated/served actions and supported controls contain no production capture→Dataset admission; evidence says `R18 seam unavailable`	read-only surface set plus pre/post equality for Dataset/Run/result-report Artifact/Evaluation/Report; no product refusal required	fixture-as-live; fabricated-coverage
W11	close application	window closes through normal control and owned processes settle	read-only pre-close snapshot plus owned PID/root receipt	persistence-drop
W12	reopen same profile/database	same participant ID is Kernel closed, Dock runtime stopped, work completed, recovery restartable across Kernel/Canvas/Dock/Inspect	coalesced single-flight complete refresh; overlap terminal invalidation wins newest pass; no mixed snapshot, dropped request, failure wedge, or concurrent storm	persistence-drop; dock-dropped-overlap; dock-mixed-snapshot; dock-refresh-wedge; dock-refresh-storm
W13	normal final shutdown	no owned app/Hermes/PTY/sidecar processes or run roots remain	owned pre/post process census and ownership-marked root inventory	cleanup-owned-leak
