path	sha256	meaning
RECOVERY-LOSS-RECEIPT.md	CAE3CCA69E13B7D250CA347B57BF7AE60F00F94B9E98BD717516345456ADCB72	immutable recovery/loss receipt
REACH-AFTER-SUPERSEDED.md	1984A2185EDBD4E032348844412A3F6AE72409168A6A410C4662DFF8919B701C	historical stale reach-after preservation
reach-before.tsv	A3ECFAC9C7D51CDD27AF76E23EE3A5AEC20785A8AA2DC6092A08921E9220D114	pre-deletion Atlas reach table
reach-after.tsv	A847009D59DB23F6537003CBEA024CB589E96051D79323F8FEAFDDC3617CF5AB	current combined-authority Atlas reach table
VAULT-ARCHIVE-RECEIPT.md	D4FF5DD06A15CFA65DB13C26D45F208909C00A23B99C9CB4B5C1785EDEBCD701	existing archive receipt
logs/21-matrix-15-atlas-ratchet.txt	DC3EF5632BA6EA967453806A276F56986D5DCE8912BC8D31B60ACE2540762159	matrix item 15
logs/21-matrix-16-electron-build.txt	3F7E1889873B176E6EC9CBC1AA9ADBEF2AAD8923313A52DADDF4DC89D9AEEC2E	matrix item 16
logs/21-matrix-17-deletion-build-census.txt	B3C34FC5C60E121B48BE240C4F01FBC34416C98DBD9B9EEAB074AF0967E83CD7	matrix item 17
logs/21-matrix-18-atlas-reach-causal-diff-refresh.txt	2967B9F2F3A1C851797CDA9589E3DABB8D99C921F54F46A9DBEEC71423C58C81	matrix item 18
logs/21-matrix-19-diff-check.txt	91B0BB26A8B848C518146C8F5EB054AA21FAF8A0DDD09BF20FAEBC319AD397F0	matrix item 19
logs/falsifier-kind.txt	036E13D6A2F016755EA7F66BA557037C0F3E24B9423641A2C02D4198CACE5D83	intentional falsifier
logs/falsifier-producer-link-count.txt	4349D902DB67ADD5973AAF7AE6B141C672540F0E890825C80BEDA9E9DF3DA379	intentional falsifier
logs/falsifier-producer-link-identity.txt	FEAE82AE835A225EC2F057649AC6EE84DA4973ADC676A26BFB699A6CE41D3128	intentional falsifier
logs/falsifier-bytes-identity.txt	032285B975225CCE54CA185F3193DF27C2DB935C3A86BA65D6928E194F37B57F	intentional falsifier
logs/falsifier-hash-identity.txt	AE38B1A0CB545A93E9AD15AF21582471489247476BE784F5F9382FE36FA4F99B	intentional falsifier
logs/falsifier-storage-ref-identity.txt	AB66FA99488825E746AF49D2110EC064EFE3C1A5B323C1C97E9F761421283AB1	intentional falsifier
logs/falsifier-root-confinement.txt	AEC83420A14DB81C0638E9547BC3E5F0EAF1C58CAB5D8C9F3DD45D71B7A1D501	intentional falsifier
logs/falsifier-report-refusal.txt	F8A0AE58F85E54B05E20761826118E03C385E95E7B3AB1B500362E3A8632FFE9	intentional falsifier
logs/21-matrix-20-cached-diff-check.txt	25EF4F20CB5883F58829D457DA170E4F0D96452956D0E59D23CA7AD4FB8482FB	initial item-20 whitespace red receipt
logs/21-matrix-20-cached-diff-check-corrected.txt	6D6A2101B301C56E3A8EAB8CB60D32477D4233786FD47CD9B3823BD8D3B2C6E7	corrected matrix item 20
logs/21-matrix-21-process-census.txt	D8242030E6083FDCBD4C987998CEB50F5DD6F52D3BBA0517D1A36FA1147869CF	final process census
