gate	classification	authority_sha	reconciliation
golden-g12-package-operations	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
research-director-front-door	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
research-director-delegation	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
research-world-visible	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
golden-g10-canvas-runtime	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
pre-r18-coherence	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
technique-outcome-loop	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
r17-founder-kernel-compatibility	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
r17-guided-technique-consumer	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
founder-steering	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
governed-review	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
governed-review-live	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
report-authority	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
repo-shape	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
lockfile-committed	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
schema	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
schema-bundle-aliases	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
release-verifier	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
package-closure	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
windows-cold-boot	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
windows-dock-collaboration	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
hermes-founder-state	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
windows-dock-ontology	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
windows-dock-capability	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
windows-dock-hire	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
kernel-task-delegation	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
dev-dock-readiness	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
team-composition	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
team-composition-ui	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
kernel-market-lineage	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
windows-research-question	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
windows-golden-run	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
golden-g5-consumer-census	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
golden-g5-saved-state	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
golden-g7-protocol-dependencies	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
golden-g8-kernel-proof	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
golden-g8-schema-lifecycle	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
golden-g4-retired-route	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
kernel	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
typecheck	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
kernel-sole-writer	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
golden-g3-consumer-census	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
kernel-sole-writer-app	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
kernel-one-path	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
no-canvas-domain-writes	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
doc-action-surface	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
doc-links	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
golden-g11-authority	HISTORICAL_EXACT_SHA	1f81c469371fbb4db3e4e8bdac1248f0a0d3d51c	archive exact SHA; reconcile current name/description/registration/implementation/receipt; wrong SHA RED
rung-ladder	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
observe-door	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
glacier-feel	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
one-skin	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
dock-profile-identity	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
dock-production-inventory	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
hermes-launch-policy	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
hermes-first-turn-synthetic	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
windows-hermes-research-chain	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
windows-installer	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
dock-definition-launch	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
tool-plane	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
market-context	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
market-ingest	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
tool-discovery	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
action-transport	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
publish-artifact-root	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
verb-retirement	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
boot-reconcile	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
kernel-drift	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
artifact-root	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
bovada-football	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
hermes-production-inference	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	new bounded P14-B registration and implementation bytes; exact fresh packaged-Windows inference contract
product-identity	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
vault-projection	CURRENT_HEAD	PHASE3_EXECUTION_SOURCE_SHA	current registration and implementation bytes
