# G8 closed-world candidate ledger: every row is an explicit retained/removed disposition.
# Frozen G7 rows are copied by ID and disposition; G8 additions are finite named candidates.
id	category	specifier-or-source	current_consumer_reachability	compatibility_proof	qa_proof	future_rung	recreation_cheaper_than_retention	decision_evidence	final_status
protocol:unreached-ipc:browser:evaluate	g7-protocol	ipc-browser.ts:198	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-CURRENT-BRIDGE	retained
protocol:unreached-ipc:browser:info	g7-protocol	ipc-browser.ts:182	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-CURRENT-BRIDGE	retained
protocol:unreached-ipc:browser:scroll	g7-protocol	ipc-browser.ts:133	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-CURRENT-BRIDGE	retained
protocol:unreached-ipc:browser:wait	g7-protocol	ipc-browser.ts:147	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-CURRENT-BRIDGE	retained
protocol:unused-bridge:openFolder()→dialog:open-folder	g7-protocol	universal.ts:429	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-BRIDGE	removed
protocol:unused-bridge:openImageDialog()→dialog:open-image	g7-protocol	universal.ts:305	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-BRIDGE	removed
protocol:unused-bridge:countFiles()→fs:count-files	g7-protocol	universal.ts:260	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-BRIDGE	removed
protocol:unused-bridge:getHomePath()→get-home-path	g7-protocol	shell.ts:317	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-BRIDGE	removed
protocol:unused-bridge:deleteConnectionsForTile()→qf:connections:deleteForTile	g7-protocol	shell.ts:128	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-CURRENT-BRIDGE	retained
protocol:unused-bridge:getGovernedReviewProjection()→qf:review:projection	g7-protocol	shell.ts:90	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-CURRENT-BRIDGE	retained
protocol:unused-bridge:permissionDecision()→qf:sessions:permissionDecision	g7-protocol	universal.ts:157	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-CURRENT-BRIDGE	retained
protocol:unused-bridge:openSettings()→settings:open	g7-protocol	shell.ts:218	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-BRIDGE	removed
protocol:unused-bridge:openExternal()→shell:open-external	g7-protocol	shell.ts:311	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-BRIDGE	removed
protocol:unused-bridge:workspaceRemove()→workspace:remove	g7-protocol	shell.ts:262	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-BRIDGE	removed
protocol:unused-bridge:updateFrontmatter()→workspace:update-frontmatter	g7-protocol	universal.ts:314	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-BRIDGE	removed
protocol:dead-wire:agent:cancel	g7-protocol	universal.ts:656	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEAD-BRIDGE	removed
protocol:dead-wire:agent:kill	g7-protocol	universal.ts:661	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEAD-BRIDGE	removed
protocol:dead-wire:agent:prompt	g7-protocol	universal.ts:651	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEAD-BRIDGE	removed
protocol:dead-wire:agent:save-messages	g7-protocol	universal.ts:666	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEAD-BRIDGE	removed
protocol:dead-wire:agent:spawn	g7-protocol	universal.ts:646	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEAD-BRIDGE	removed
protocol:variant:pty:write:invoke	g7-protocol	index.ts:790; send universal.ts:345	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-PTY-INVOKE	removed
