selector	command	result	owner_or_disposition
verifier-previous	independent verification at 564af3c096ac7ef64c39dfb3cfa19bc7964812a4	FAIL; stale precreated native_tui-only refusal preceded dispatcher for retired routes	repaired under fresh Reader YES/YES
golden-g4-retired-route	bun qa/run.ts golden-g4-retired-route	PASS; retained refs=3; agentos and arbitrary unknown rejected by exact dispatcher; precreated path single-dispatcher contract green	G4 semantic repair/non-regression
precreated-production-path	bun test collab-electron/src/main/precreated-native-tui.test.ts	PASS; agentos and golden-g4-unknown use production start path; exact UnsupportedRuntimeRouteError fields; zero Kernel mutations and runtime callbacks	G4 semantic repair
dock-production-inventory	bun qa/run.ts dock-production-inventory	PASS; Hermes and Claude production identities; Claude QA visible in QA inventory	G4 non-regression
dock-definition-launch	bun qa/run.ts dock-definition-launch	PASS; 9 canonical QA profiles; definition argv, peer ownership, host-ACP cleanup green	G4 non-regression
hermes-launch-policy	bun qa/run.ts hermes-launch-policy	PASS; mission, critic, worker, fallback argv policy green	G4 non-regression
package-closure	bun qa/run.ts package-closure	RED after staged build/inspection at package:verify: linux-only verification package command	G12 inherited platform boundary
runtime-adapter-tests	bun test collab-electron/src/main/runtime-adapter.test.ts collab-electron/src/main/precreated-native-tui.test.ts collab-electron/src/main/native-tui-orchestration.test.ts	PASS; 16 pass, 0 fail, 63 expect	G4 non-regression
typecheck	bun qa/run.ts typecheck	PASS; dependency install and all strict package checks completed; prior G12 Windows red did not reproduce	G4 non-regression / G12 pre-existing red not reproduced
build	bun --cwd collab-electron run build	Bun 1.3.12 printed usage with exit 0; supported bun run --cwd collab-electron build completed with exit 0	mechanical invocation receipt; no semantic red
atlas-check	bun qf-atlas/generate.mjs --check	PASS; 417 files, 126 channels, 13 strip candidates	G4 evidence
atlas-falsify	node qf-atlas/falsify.mjs	PASS; 98 falsifiers	G4 evidence
atlas-ratchet	bun qf-atlas/ratchet.mjs	PASS; HARD RED 0; unexplained coverage 0; undecided without blocker 0	G4 evidence
