id	command	bait_red_receipt	restored_green_receipt	cleanup
K1-01	bun qa/run.ts golden-g8-kernel-proof	exact packages/qf-kernel/src/r11a-deterministic-execution.test.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-02	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/dev-dock-readiness.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-03	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/founder-steering.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-04	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/kernel-sole-writer-app.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-05	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/pre-r18-coherence.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-06	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/r17-founder-kernel-compatibility.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-07	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/r17-guided-technique-consumer.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-08	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/research-director-delegation.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-09	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/research-director-front-door.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-10	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/research-world-visible.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-11	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/team-composition-ui.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-12	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/team-composition.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
K1-13	bun qa/run.ts golden-g8-kernel-proof	exact qa/gates/technique-outcome-loop.ts; caught=true; result.ok=false; red_exit=1	restored=true; bait_path_exists_after=false; normal_rerun_exit=0	process_delta=0; root_delta=0
internal-handler-missing	bun qa/run.ts golden-g8-kernel-proof	missing governed_review_task handler; generated internalCommands and both action sets unchanged; caught=true; result.ok=false; red_exit=1	restored handler map; normal_rerun_exit=0	isolated virtual fixture; zero residue
internal-handler-undeclared	bun qa/run.ts golden-g8-kernel-proof	undeclared g8_undeclared_internal_bait; caught=true; result.ok=false; red_exit=1	undeclared key removed; normal_rerun_exit=0	isolated virtual fixture; zero residue
law-b-main-link-bypass	bun qa/run.ts golden-g8-kernel-proof	virtual Main INSERT INTO links bypass; caught=true; result.ok=false; red_exit=1	execute(governed_review_task) authority restored; normal_rerun_exit=0	isolated virtual fixture; zero residue
schema-golden-drift	bun qa/run.ts golden-g8-schema-lifecycle	one byte changed in golden/ONTOLOGY.md; mismatch caught; red_exit=1	byte restored; exact lifecycle control green	isolated virtual schema copy; zero residue
lifecycle-promotion	bun qa/run.ts golden-g8-schema-lifecycle	market.competitor experimental→active; exact promotion caught; red_exit=1	promotion reverted to experimental; normal_rerun_exit=0	isolated virtual schema copy; zero residue
packaged-result-missing-observation	bun qa/run.ts hermes-first-turn-synthetic	candidate=b20966dc8ec86193de8af092df45248fbeb3fc1b; director_pty=2e00335abb840a61; to_role=orchestrator; to_session=c6eb111e-e071-46b2-ba7a-3a5bdcc36c6a; from_role=worker; from_session=synthetic-worker-ff2406a1-bd8e-4626-a276-167fe69ae4b5; message_id=null; task=task-8e244c12-fcf9-4eeb-9a81-de96f16bb331; artifact=ce0c346eae3e330c064028d1f26e84d3e53dc6d918a4b08bd71dc8ee111787c2; worker_completion=true; result_return=false; caught=true; result_ok=false; eval 0→1; report 0→1; red_exit=1	director_pty=3e3e6239243f46ac; to_role=orchestrator; to_session=90399f03-dce4-41d9-96b3-78568d31834a; from_role=worker; from_session=synthetic-worker-7e08a08b-8b21-40a1-9acf-226850f269a0; message_id=fead520b-a524-4af8-a327-f3c57af1a1b8; task=task-9bc526b6-a7ba-40bc-84b6-90d7f8067eb4; artifact=9cb04dfcf87befc80d1745faee0677f8939c5bb06ff33d71f5ce539f70e6fdc5; receipt_before_result_return=true; restored=true; normal_rerun_exit=0	packaged process-shutdown remaining=0
packaged-worker-completion-substitution	bun qa/run.ts hermes-first-turn-synthetic	candidate=b20966dc8ec86193de8af092df45248fbeb3fc1b; director_pty=f330d71817576570; to_role=orchestrator; to_session=287a3d32-c71f-43cf-96ee-4999fc88b9ba; from_role=worker; from_session=synthetic-worker-11f7093b-0150-4517-a66a-7bf74860e0e9; message_id=null; task=task-7fa86808-0498-4312-a2ad-c65be6fc5ae7; artifact=7e8a495b279ef6f97b88c8e13e4edfb6f16b58295858b822c49b45bad05f3eb8; worker_completion=true; result_return=false; caught=true; result_ok=false; eval 0→1; report 0→1; red_exit=1	director_pty=46ab380487e79951; to_role=orchestrator; to_session=c9f1e0f3-2f91-4542-a640-b0f7f2f0abda; from_role=worker; from_session=synthetic-worker-9160dbc7-a07a-4cbe-bf36-a9525b3251b0; message_id=492b7ac5-bf09-4ddd-b96b-a448bf213afb; task=task-3ca335ed-4156-4d3a-ada6-c9ea7993178d; artifact=b456602ebe92faba91f0a49155137645e6008a667b9a8aad5e534b07801ded94; receipt_before_result_return=true; restored=true; normal_rerun_exit=0	packaged process-shutdown remaining=0
