path	git_blob_oid	class	current_authority_proof	packaged_proof	runtime_proof	state_authority_proof	qa_future_route_proof	disposition	destination
.gitattributes	1cd582819aa2fba4064b62ac9caa559eaa388044	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
.github/workflows/ci.yml	767c2444480d6c7d294991070b422fb4008c5b2e	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
.github/workflows/packaged-app.yml	fb5954c35375846d6462a6ac22f67788a12e7f3f	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
.gitignore	869ac888ba0fce0028292b2753faea3af62a23f0	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
.mcp.json	ee822f98cb2e9835fe9e3feb7b5b94203c0db175	B_DEVELOPER_INSTRUMENT	CURRENT_CODEX_MCP_WORKFLOW	NOT_REMOVAL_TARGET	NOT_REMOVAL_TARGET	NOT_REMOVAL_TARGET	NOT_REMOVAL_TARGET	RETAIN_CURRENT_WORKFLOW	-
AGENTS.md	963956b40e2311ed3aecdb9cf40b7979146c557d	A_CURRENT_AUTHORITY	CURRENT_OR_CLAIM_SURFACE	NOT_REMOVAL_TARGET	NOT_REMOVAL_TARGET	NOT_REMOVAL_TARGET	NOT_REMOVAL_TARGET	MODIFY_ELIGIBLE_EXACT_CLAIM_ONLY	-
LICENSE.md	97a93f06dc9f8c00fcc0d9efeaa6f67b0982daef	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
NOTICE.md	686d38699fd59fc78655ccc9265bfcd0d12e9c0e	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
README.md	e5635bb3ed51d186f748cbcaef59773131992262	A_CURRENT_AUTHORITY	CURRENT_OR_CLAIM_SURFACE	NOT_REMOVAL_TARGET	NOT_REMOVAL_TARGET	NOT_REMOVAL_TARGET	NOT_REMOVAL_TARGET	MODIFY_ELIGIBLE_EXACT_CLAIM_ONLY	-
START_HERE.md	a40581df0fd494b8a243e74613a9ecdedb5cc137	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/.gitignore	1ce1099dd7a1ff88f5dc19558599df531067c091	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/NOTICE	a86495dadb34e6edddb34a7a2505f87ff43064a5	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/build/entitlements.mac.plist	74afe6338483b13e9a294b92664b8cad6156a1ed	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/build/icon.icns	c893a52f111cc4242a810dd8a61a3ee724f1a86d	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/build/icon.ico	34c22b7893783bd854a2444f7c04fcd2d75caaa1	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/build/icon.png	25b874ac5a4795cc5880b6e04172f526eb6411d2	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/bun.lock	2f778be79c186cb8251d433044b668bc49489c0f	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/bunfig.toml	d629f604dacc3917159d74ebe991aa3899c00190	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/cli/bovada-market-cli.test.ts	101394959abc25ec9df7bb41883e9370328e2f92	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/cli/collab-cli.mjs	97733a9d0ad072949ca6b7bfb920dd5f7e602878	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/cli/qf-collaboration-mcp.mjs	d8e77fb1d6ac14dea8df4fe0282d189f5495441d	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/cli/qf-collaboration-mcp.test.ts	69f99fc49e2a37d7f4d67e75ae7722fd11fd62be	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/cli/qf-hermes-launch.sh	be07c4073681a121c1d9ddafcff055fb5754caed	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/cli/qf-hermes-launch.test.ts	b0df696ae05e2b5608544bc3b2a93bb08d8babb4	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/cli/qf-hermes-synthetic-responder.mjs	207c079c8296283b24642d1e794bca002a8cea79	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/cli/qf-hermes-synthetic-responder.test.ts	98f52835adf709120b57d9cf1613b89ab68298d5	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/cli/qf-ontology-mcp.mjs	412fbe3e73d27ed20169675e888a64f4694be55d	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/cli/test-cli.sh	66d4a4c5d92fd6c98d325b02918049bd0d7c775b	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/electron.vite.config.ts	bbb59501532249df170f77b5b6606afafa08fcdd	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/package.json	41e3c403853e742f77d78fe653ad1f6074e212e8	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/packages/collab-canvas-skill/.claude-plugin/plugin.json	aab54f46e5d22fcddf309c3fe00d4485336c7621	B_DEVELOPER_INSTRUMENT	NON_AUTHORITY_PER_ADR_0004	UNPROVED_RETAIN	UNPROVED_RETAIN	UNPROVED_RETAIN	UNPROVED_RETAIN	RETAIN_FAIL_CLOSED	-
collab-electron/packages/collab-canvas-skill/collab-canvas-codex.md	b29844a2e7481a6c3ae8a3bdc8f04bbc81443844	B_DEVELOPER_INSTRUMENT	NON_AUTHORITY_PER_ADR_0004	UNPROVED_RETAIN	UNPROVED_RETAIN	UNPROVED_RETAIN	UNPROVED_RETAIN	RETAIN_FAIL_CLOSED	-
collab-electron/packages/collab-canvas-skill/collab-canvas-gemini.md	ed52800c1074307151be783290f4faa57537a9e1	B_DEVELOPER_INSTRUMENT	NON_AUTHORITY_PER_ADR_0004	UNPROVED_RETAIN	UNPROVED_RETAIN	UNPROVED_RETAIN	UNPROVED_RETAIN	RETAIN_FAIL_CLOSED	-
collab-electron/packages/collab-canvas-skill/skills/collab-canvas/SKILL.md	6441f73f95ed886b616d7cd029391784ad781a8c	B_DEVELOPER_INSTRUMENT	NON_AUTHORITY_PER_ADR_0004	UNPROVED_RETAIN	UNPROVED_RETAIN	UNPROVED_RETAIN	UNPROVED_RETAIN	RETAIN_FAIL_CLOSED	-
collab-electron/packages/components/package.json	6fd1109507b82ed90adb191b8a21c9c189bd02a1	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/packages/components/src/CodeEditorView/CodeEditorView.css	f9aaa93030f47904f691aebf2378ef8e2ed9f8b6	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/packages/components/src/CodeEditorView/CodeEditorView.tsx	91b589f81cbc8d0342bbd760644f4e70f3fed7d2	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/packages/components/src/CodeEditorView/index.ts	e288499a88f5b6fed36c47c22a2293a446cff540	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/packages/components/src/CodeEditorView/monaco-react-shim.d.ts	775e7c0b4d676649ce6522cd173ba7c80da37b28	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/packages/components/src/ConceptList/ConceptList.tsx	55130459b6619fa609d5e51f7a8bfd9837982fc6	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/packages/components/src/ConceptList/index.ts	3cda0a9739763431e7ff2cbc83557e2773631a7e	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/packages/components/src/Editor/Blocknote.css	0aa4a3705fb131e3677e28703ca2cfcff8ecb31a	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/packages/components/src/Editor/Editor.tsx	cdfd48fcffeb7961db13589bd102214d068b2d43	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
collab-electron/packages/components/src/Editor/EditorConflictBanner.tsx	c357597f645f62296510abe2587911a7dcd967b1	D_PROTECTED_COMPLEMENT	RETAINED	RETAINED	RETAINED	RETAINED	RETAINED	RETAIN_BYTE_EXACT	-
