id	role	command	baseline_state	postcondition	owner_or_disposition
g6-source-denominator	reader	Phase-1 frozen audit + provisional source-scope testimony	187/187 tracked files; current scan reports 119 Claude/Anthropic literal files	remeasure at candidate; preserve historical/evidence bytes	Reader testimony only; not semantic approval
g6-production-inventory	normal	bun qa/run.ts dock-production-inventory	PASS under old semantics; measured production is 6 profiles/13 files including Claude	0; production is Hermes-only 4 profiles/8 files; QA is Hermes+qf-proof 6/13	G6
g6-dev-dock-readiness	normal	bun qa/run.ts dev-dock-readiness	Current production staging includes Hermes and Claude assets	0; production readiness names/stages only genuine Hermes resources	G6
g6-dock-launch	normal	bun qa/run.ts dock-definition-launch	G5 verifier normal selector green; current QA universe includes Claude and qf-proof	0; generic QA launch stays green and missing saved fake rows refuse before mutation	G6
g6-runtime-staging	normal	bun test collab-electron/scripts/package-lib/runtime-staging.test.ts	Phase-1 package map: production staging contains 8 Hermes + 5 Claude files	0; staging contains no Claude and retains Hermes/qf-proof contracts	G6
g6-package-inspect	normal	bun test collab-electron/scripts/package-lib/package-inspect.test.ts	Phase-1 package map includes Claude metadata/package marker	0; inventory/inspection contains only genuine launchable production runtime	G6
g6-kernel-one-path	normal	bun qa/run.ts kernel-one-path	G5-owned Kernel one-path proof green at evidence head	0; no new DB writer, blocklist, or availability truth store	G8 protected / G6 non-regression
g6-research-front-door	normal	bun qa/run.ts research-director-front-door	Current front door is Hermes production path; source testimony finds Claude references in QA/assets	0; Hermes front door remains green with no Claude production asset dependency	G6 non-regression
g6-generic-cli	normal	bun test collab-electron/src/main/integrations.test.ts	Existing user-owned external CLI seam is protected	0; generic external CLI behavior remains unchanged	G6 protected seam
g6-docs	normal	bun qa/run.ts doc-links; bun qa/run.ts rung-ladder; bun qa/run.ts repo-shape	Current docs/evidence closure is being rotated to G6 Reader pending	0; live links, one active order, and repository shape remain valid	Router/readiness gate
g6-process-roots	normal	process/root census around G6 matrix	G5 verifier: no Bun/Electron; inherited x0W0CL/Fz8BQs untouched	0 Bun/Electron; no G6-owned roots; roots_remaining=0 and leaked=[]	G6 cleanup; inherited roots remain G8/G12 evidence
